Domingo;;;;
Segunda-feira;;;;
Terça-feira;;;;
Quarta-feira;MEC1;Arte-Quiosque de Arte;13:30;15:30 
Quinta-feira;Projeto;Audiovisual/Fotografia;10:00;11:00
Quinta-feira;INF1;Arte-Quiosque de Arte;13:30;15:30
Quinta-feira;AUT1;Arte-Quiosque de Arte;16:00;18:00 
Sexta-feira;Projeto;Clube dos Artistas;7:30;9:30 
Sábado;;;;
